124	0.4973	0.9726	2.739
125	0.4971	0.9725	2.751
126	0.4990	0.9723	2.771
127	0.4918	0.9749	2.510
128	0.4838	0.9790	2.101
129	0.5001	0.9716	2.843
130	0.4982	0.9723	2.774
131	0.4997	0.9718	2.822
132	0.4923	0.9750	2.498
133	0.4983	0.9725	2.753
134	0.4950	0.9740	2.598
135	0.5000	0.9715	2.848
136	0.4986	0.9725	2.751
137	0.4976	0.9729	2.708
138	0.4948	0.9741	2.595
139	0.5010	0.9710	2.904
140	0.4988	0.9717	2.827
141	0.4946	0.9740	2.598
142	0.4933	0.9742	2.576
143	0.4993	0.9719	2.810
144	0.4821	0.9795	2.048
145	0.4992	0.9722	2.778
146	0.5008	0.9712	2.876
147	0.4980	0.9727	2.726
148	0.4964	0.9729	2.707
149	0.4981	0.9722	2.778
150	0.4975	0.9724	2.759
151	0.4968	0.9729	2.707
152	0.4929	0.9743	2.569
153	0.4988	0.9720	2.801
154	0.4972	0.9725	2.751
155	0.4988	0.9724	2.763
156	0.4951	0.9738	2.624
157	0.4955	0.9736	2.642
158	0.4976	0.9724	2.763
159	0.4947	0.9736	2.637
160	0.4901	0.9754	2.458
161	0.4938	0.9745	2.552
162	0.4980	0.9723	2.773
163	0.4865	0.9780	2.195
164	0.4957	0.9733	2.668
165	0.4989	0.9726	2.744
166	0.4964	0.9729	2.712
167	0.4982	0.9723	2.774
168	0.4974	0.9723	2.770
169	0.4981	0.9725	2.755
170	0.4946	0.9740	2.602
171	0.4958	0.9734	2.660
172	0.5015	0.9708	2.918
173	0.4837	0.9791	2.087
174	0.5001	0.9712	2.884
175	0.4979	0.9725	2.750
176	0.4968	0.9731	2.695
177	0.4861	0.9773	2.265
178	0.5007	0.9708	2.915
179	0.4990	0.9723	2.769
180	0.4992	0.9716	2.841
181	0.4851	0.9781	2.190
182	0.4978	0.9723	2.768
183	0.4973	0.9728	2.723
184	0.5002	0.9717	2.826
185	0.4996	0.9716	2.842
186	0.4995	0.9717	2.827
187	0.4980	0.9724	2.762
188	0.5001	0.9712	2.880
189	0.4972	0.9726	2.736
190	0.4971	0.9729	2.715
191	0.4984	0.9718	2.818
192	0.4959	0.9732	2.677
193	0.4971	0.9728	2.720
194	0.4916	0.9748	2.516
195	0.4941	0.9736	2.636
196	0.4933	0.9740	2.605
197	0.4990	0.9720	2.797
198	0.4991	0.9718	2.816
199	0.4997	0.9717	2.826
200	0.4987	0.9718	2.825
201	0.4860	0.9773	2.265
202	0.4969	0.9725	2.752
203	0.4944	0.9740	2.603
204	0.4877	0.9769	2.306
205	0.4956	0.9733	2.670
206	0.4980	0.9722	2.783
207	0.4947	0.9740	2.602
208	0.4835	0.9790	2.102
209	0.4957	0.9734	2.660
210	0.4958	0.9732	2.679
211	0.4932	0.9739	2.609
212	0.4999	0.9716	2.845
213	0.4992	0.9715	2.853
214	0.4850	0.9781	2.188
215	0.4972	0.9723	2.773
216	0.4953	0.9731	2.686
217	0.5007	0.9714	2.860
218	0.4979	0.9723	2.774
219	0.4954	0.9736	2.643
220	0.4945	0.9736	2.639
221	0.4972	0.9723	2.766
222	0.4979	0.9723	2.773
223	0.4940	0.9736	2.638
224	0.5006	0.9712	2.882
225	0.4930	0.9742	2.580
226	0.4994	0.9715	2.846
227	0.4980	0.9725	2.750
228	0.5006	0.9709	2.915
229	0.4996	0.9716	2.843
230	0.4999	0.9712	2.880
231	0.4988	0.9723	2.767
232	0.4978	0.9723	2.774
233	0.5007	0.9710	2.902
